"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57"
"control",-26.4957056021537,0.388818139930512,-7.10491863308092,6.50860842354879,-24.036547375206,4.26867231613897,-10.955926695022,-6.38824749702099,6.39229326224926,-1.63453843746931,2.19430769890833,-1.61321545357263,5.78065071608996,-3.39321646999115,1.76328926384172,-3.06220087585319,4.85692137135149,-0.234737786450813,5.43142479771437,-1.52358958056246,-1.9668740222102,0.0794735334859752,2.20049913871293,-2.039273571436,-2.52566645175474,-2.71410222353982,-4.16717005384038,4.29636027139212,0.947099092985403,5.46311349281785,2.78489118259679,0.538310474218317,-2.4487374619459,-3.01291427811283,-2.5934060361876,-3.47848410095668,-2.51720517456506,-0.39447894596943,-10.021647174063,5.76106547299805,0.95260833590295,1.61048662102061,0.364214678991309,1.3464135985711,1.65765078728909,1.71581733843428,0.467743748842809,0.459463243344439,1.10910673135946,-1.79624912043353,-0.819939593435737,-7.06992934863546,-0.288436758268473,6.50388272614888,-0.390105895637271,1.2910290523498,6.41101755016749e-14
"control.1",-25.6360919512704,-0.195466782657108,-12.3051533932791,4.20756881779392,-24.9400736061274,1.1782344729965,-9.59416860614161,-7.64646071427972,7.35908329005197,-4.18544738567771,1.64845998335096,-2.68169239113456,4.76356750898543,-3.30457001546922,-1.8389122917022,-3.71940281665848,3.33087904624392,0.475610503325657,4.35169456785792,1.04535195322473,-2.18746634211858,-4.39714232542203,1.84879887266959,1.67147733308027,0.236698736871149,-1.77265655498669,-0.644592434358039,-1.50069483131459,-2.49804435225499,3.04776773787826,1.6473665027942,1.77966834188836,0.505465937721844,1.94420041332963,-0.694834660941158,-1.96964783130099,-3.30213235867218,6.11986071968573,-1.9430298852787,1.58209602146356,0.128161744115833,2.72759762363888,-2.00155491423,0.0909455730634529,-5.30647116119454,-2.20305879117812,3.40852956183365,1.22970571306277,-5.68389319815688,0.32351711545951,-3.02387814892563,10.3159287772425,0.75496463368099,-5.24639165241607,0.446019086919275,1.28360558301465,3.54715172165565e-14
"DNA.damage",5.39515017809992,46.1157855514919,23.0126643875928,-48.8897949585926,-8.69236885114645,5.23441584716655,6.08792374550942,4.97928524468685,13.1019670628328,11.5100410564273,10.6949380859011,-3.47289279845481,-17.2190371151236,9.23782580774095,-1.78750926935801,3.48423153836285,9.61313022723553,-16.4776221028086,-0.483032057429177,-0.209018264161207,4.53656500984923,-3.17594114806936,-2.90605704235423,-0.874261379134584,-3.97375806054599,-1.91767283024314,-0.565419574416182,-1.48970145990026,0.230036273575317,0.37234865123529,3.09611955159234,-2.43264890144257,0.0215641047122518,2.43476945039119,-0.843289535080469,0.111108827143215,-1.12298151771605,0.376470168773594,0.0281824521300213,0.554543805150677,0.00669390170985841,0.24352214209168,0.963648997626236,-1.92619107711022,0.408630872624677,-1.52085633168865,0.246697548650323,0.164984085597582,-0.168959442888635,0.794636346123122,-0.44284839802078,0.192006717152281,-0.713184262852311,0.736968141265978,0.318123494240978,-0.818703808862226,-8.81712237943422e-14
"cell.wall.synthesis.inhibitor",-27.1885795102542,2.46272956315931,-14.0950756330941,4.65418486928371,-25.968652266594,-0.386679095772739,-10.4185557565875,-8.22115821491736,6.49796100133828,-8.13532038450029,-0.779091781349103,0.78218514628789,6.30004571627625,-4.17987528778238,-2.72084405227805,-5.4441091831774,2.42718576556552,-4.09175501385133,7.33684340625525,2.51104716519904,-4.75536744350167,-7.06635408387382,-1.65382975770179,1.63973126357366,-0.838692166248951,2.24467999703008,0.00557776362211075,-3.95330375463742,3.28091381878731,1.07560747760184,0.922506033493389,1.72753316170651,0.489313384862575,4.04646261492187,0.996231768925691,-0.741784394457877,6.61833453930469,-2.44269872029008,8.09840353360485,-1.8823780258567,1.86154792525341,3.00289406441473,2.70747226686512,-3.81504234270564,4.09801843430124,3.9306781355374,-3.04814885730318,0.762629848038499,3.48038292391336,2.61537262420591,3.63443882695402,-2.13281421828815,-2.64207036734976,-2.19484558700828,-0.688851536822439,0.0515164299060506,5.39737796557277e-14
"Protein.synthesis",68.861607568389,15.5126168067442,-1.48299545871102,7.87027982051217,1.33546650591361,8.87208097972783,-14.5163507180953,-1.92851875420495,7.29184649706678,0.833857328056346,4.07122646321065,12.6166365506915,-3.30058154661851,13.6526164817368,-10.3256538379682,-0.985961718562162,-2.20380463985769,-0.309015125950543,0.607048622196251,1.78429511492887,-2.01645836134052,-2.95125137716696,5.69599868649536,3.40101224306986,4.27677546181361,1.27110208309694,2.99119076271561,-1.6884123917915,-1.5813412350488,1.13250005210613,-0.445477715848253,1.1009306491862,-5.23377987913455,-0.239660351690275,3.32587176629881,4.04650143931483,-1.47140657998276,2.72831085794525,-2.6085593816403,-0.112756434984924,2.4690371661128,0.542396680756631,-4.11925326803022,3.45765794068549,-1.69651293741465,1.8039294370958,-7.30161723609466,0.716184640412832,4.29137969672251,1.22470410282442,-1.25984016108428,-1.63724267795981,5.77660056478183,-1.54292694251102,0.324824592608178,-0.379445195173889,-1.08339986287787e-14
"DNA.replication.inhibitor",-15.5386005454595,99.4463898102269,38.6941684035705,48.5262463027623,5.92811400369323,2.42722205386669,16.2856332352229,-6.37974505070147,9.09441181533541,1.42250596771769,-3.18384970756204,-5.82346429884224,-7.30501634586121,1.90291921508832,-2.58561449305045,-14.0719276864534,1.7036491172638,6.2950929719863,-3.3724407925249,-9.10129084764384,6.88945417475164,-6.35631528765173,2.23012248625258,-1.57644801135712,-1.7313706710167,2.53025663559854,-3.94801990356812,-0.0289926274124075,-2.62981571626162,-1.76365354703792,-1.57643747824413,0.914962131160538,2.7232961584387,-0.1120746062433,0.0313613218983211,-0.0567790330175216,0.920651651407626,0.853428054425007,1.06317244720644,0.140433691017748,-0.599431978391888,-0.0977388781391354,0.277598809877396,-0.232617385345345,-0.0983643079637179,0.366918563314873,0.282949390981806,0.566379356031055,-0.0543533789552986,0.644263954752567,0.00569637934285835,-0.848271210081209,0.165079449061272,0.475006852001564,-0.0544966877158119,0.490112066134507,-1.63638091792151e-13
"Protein.synthesis.1",48.3518633776146,26.9315468424851,-65.0792072355223,-13.2498214295257,-7.14380625676753,-18.211641602742,20.9698216723701,-12.6110300512011,-15.8995925827304,3.45308814476728,6.70206584441309,-6.60000676111468,-6.85036521440557,3.99182716428461,-11.3527625787349,3.92496936821465,-3.93504846161739,9.30792899407151,-0.601781606278966,3.84724618352237,-0.45482797289644,-4.12046106433751,1.11097556607189,-1.43720896127074,2.11343685083987,-5.07040622132077,-2.73076110220306,1.30712031828036,0.826685002222877,0.764395884280307,0.216816845961539,-2.18176535484329,1.95591129494355,-0.547999998125862,-3.52931288896831,-0.0206578109051665,3.7808736744355,-0.983301379409257,-2.09116552815013,2.5653495682963,-2.02294434076264,-0.783092102985376,1.37131151717797,-0.902882129629556,-1.74027452392332,-0.781928790673013,-3.82997753906333,-0.0317836602327642,-2.99720627491348,2.75555521880899,1.11317548943105,-1.10425385369466,-3.07252765108881,-0.83114056100265,-0.799400379199024,0.643132707318532,-1.72472713194649e-14
"Protein.synthesis.2",61.6201909591375,17.1284083347566,-24.5682940059448,1.93663749475241,4.41408366184596,3.83733739499575,-2.44425379839058,-3.87481302099756,6.33652001982923,1.86831150071154,-8.55060452273599,1.50526399285355,-19.2682600511137,-13.4545514860521,-6.76638200957369,6.13817769433368,-1.87397115211776,1.93121468861226,0.655462378901278,0.125415753127589,-7.53772912756641,-2.71984002378705,3.11162181604858,-2.71959004739654,-1.01198714972713,-0.00844474280556667,0.289391573481567,-2.46260635748761,-0.283366743581425,-0.0754092251354261,-1.30101849116906,1.30005145523575,-1.24811622364686,-4.57970875982411,2.59296785571111,-0.0724867599185553,-4.09075513650948,0.656579608403163,2.13168957669504,-1.81117383078264,3.35376657317044,0.648987850452967,-2.93643731684176,-1.13595353255927,4.21647454112421,3.3031653583232,7.32050483396103,-1.17298611493245,0.710346563007624,-4.87490813555182,1.97285308831645,1.82043491431752,-2.17081764981544,2.34918617756428,-0.35828935048716,-0.597513862237983,-4.45648292574097e-14
"DNA.replication.inhibitor.1",-13.0073562759214,-12.6999723734496,24.2229617895271,2.1015376469367,-17.6462529881348,-19.8496528815527,-10.1061540154058,-14.6302480203891,-0.297296003321571,5.0649953603838,1.71992420321575,6.24590315860284,-0.187861752442321,-1.84985731417293,3.11898444169381,3.44239658941255,1.37578681859837,2.16745903863525,-0.409972460799055,-6.91623617414835,1.63505381909505,-3.98318236838238,-1.44458544298185,-5.40661890664998,6.33347961539946,-2.48535343251801,8.8351971934345,-9.33258791580393,3.90535688998878,-4.26224985124723,-0.73369529038199,2.22700914920533,-4.59941342602301,-2.55830487952236,-1.83055244820646,1.28528380350028,3.66662981972085,-0.377081184852967,-3.58452155159766,-1.98165193700868,-3.86357618875721,-5.32360973195661,3.08308522756385,-0.655321820267559,-0.620584942324493,-3.26394512545826,1.9322822039805,0.945246568832912,0.694537968399024,-1.6298657190148,-0.311428422725581,0.222339649804304,0.864783087417129,1.42592436382255,0.735629731996853,-0.716169797547595,1.719978326431e-14
"cell.wall.synthesis.inhibitor.1",-30.6854700931103,-1.81560027343412,-15.2372152273485,3.03125309064103,-20.4664796890988,-1.05150340747911,-6.42120041462299,-6.13262956760074,5.3082772154943,-6.34402428219804,1.41414242729961,0.315466167420633,0.802992824750425,-3.63323483222548,-1.85153448483863,0.787606786404482,-1.27222488907749,-1.82199465838888,-0.257099981362523,1.85404390831181,0.425623208259938,2.41061073871251,-0.366434572660129,-4.13363162492725,-1.397226967675,-0.606045454172285,-4.04622042741633,0.231103181755446,-5.04330533046519,-0.236467784370564,2.05951489410664,1.87722655030364,4.72786763435382,1.78423668831406,1.41348116391017,8.71684354049962,-3.13252383594522,-6.217238024366,3.47333489743103,-2.9188294497024,-5.73275324461024,-4.94313204999103,-6.64859433813865,1.95483510975435,0.665588095110791,-4.54088662100431,-0.622111423102967,-7.03336459510662,0.283170323876706,0.612913761628661,-2.71535747002043,-1.37025194441592,1.39672160525006,1.53287656503891,-1.75527543076682,1.05416020584583,6.34180208347601e-14
"Membrane.perturbation",-47.5384304705217,18.8037835020068,-25.0301434357154,-4.95383736363804,15.6986429930842,-12.8478368129213,-15.4521420779165,-6.97229576854188,7.66845218979642,12.6440667246154,-6.2574831038363,-10.7276889527438,5.20983455239298,3.47539315041917,-7.14401369722582,5.37656697561731,0.30224574636305,1.4709877088406,2.51325919208071,-3.79741429091943,-1.89609669994912,3.01942394821883,3.7796897662939,-1.39222543917532,-2.35116158370982,10.1268319641864,7.48863202534696,6.02511472340359,-0.950731036833483,-7.30591161292625,5.35011003396965,-2.28081920958037,-0.614439315867507,2.73660959752055,1.06256422471716,2.24462422563865,-0.55560809719826,-0.989075775551329,-0.00763663704014263,4.00630473477047,2.94670371110911,0.317968371750143,3.36293142213484,0.0822407852653753,0.544996094726669,-1.01810243549755,1.72198444779407,-0.951356685321842,0.287794788641169,1.6161611308704,-1.26097994814654,0.125814884303869,-0.448206047561596,-0.662756782626032,-0.236497248466656,2.53252784958267,4.85505732839009e-15
"cell.wall.synthesis.inhibitor.2",-25.5408567382976,-7.46818678700429,-8.14957235898524,4.20840979386534,-17.8534864631792,2.15999348220356,-4.63993544469562,-5.21706227744486,4.7141967909872,-7.27473085323332,-0.523438635555273,1.44546663965684,-0.196196293013056,-4.11434379806762,-1.95600904361178,-1.43217047963932,-4.26616875193279,-6.45371001759128,-6.59791303478297,5.59633805112811,3.25570178220325,2.18838568257602,0.307390493649743,2.49820142564128,2.01583343756413,-1.78258691359021,-5.76927647681643,2.77494610671083,4.93305474098052,-12.4537244585525,-5.34302925949518,-6.25462849245878,3.00750187155999,-6.14976421958911,0.194418794275938,1.69242432717678,-2.698340177323,0.0108352076955183,-1.97981726814111,1.49485288167423,0.567649531187573,0.303948026392932,3.00891667742518,-1.63849997015811,1.71070499360201,1.5763210027428,0.206138606567028,4.11429129986717,1.67576484058743,1.58103041325892,0.319813332064171,2.42136427740878,3.88555566691495,-0.311533429709205,-2.04028217450247,-0.230423371278873,4.24679144931869e-14
"Membrane.perturbation.1",-37.7402648449496,3.03246459953287,-19.6454489095614,3.43058239432494,-1.12690941726433,-5.41913813291422,-10.4491314652237,-4.1025675637001,8.29108524704054,3.03841767250348,-2.54022611881092,-7.05918216883763,1.59578462743059,-2.10434832170501,-1.9685890429206,-1.89180903078064,2.31280824690383,2.76622401741381,-5.4751196774349,4.58437424161559,5.47998186906447,2.16181152910063,-1.06756804726131,0.595647028335134,2.096710075545,-0.284840534939402,-0.0576482414079742,1.42292555624851,1.38505225871963,0.0465772576900101,2.04079973326418,-3.05889232337545,-0.37863893652557,1.19873312229131,2.02543934980411,-2.29529875222913,2.80811541126453,-1.62271606754777,0.214567097355894,-0.166224457953437,1.30197961016426,1.64593375488306,-4.71575237318687,2.29652875823345,-3.1734864025447,-0.371091592069276,0.598184376431892,-0.449731263202028,0.270580783522229,-3.89416077847482,0.166012977307916,-1.95446423345587,-1.76489164337127,-1.45414079616031,4.87733386240284,-10.6797424898037,4.75380368750167e-14
"cell.wall.synthesis.inhibitor.3",-43.9194983128407,2.41498547373641,-10.072187855258,0.502256889277975,-0.776862216108686,-5.107121931741,-8.20364266723755,-4.04371095601901,5.08349080480092,-5.16778375413057,4.73372087479184,6.46081545051618,-12.0931060703019,4.91988947026811,7.86885255684357,-1.16114491689816,-6.66741071358695,5.29505644088507,2.05410888528454,-3.76940372003964,-4.52583494243315,4.22580672418599,-2.6767266889403,2.10679182022891,-11.4997694064677,-0.151749918024414,3.3790452117873,0.32031866964861,5.61707189196157,1.00394542656922,-5.05139307593148,-3.15577517710996,0.766010517988691,2.60144930420243,1.28366608421222,-3.54502934875417,-0.976171217414547,0.386023679470508,0.614683561601127,-0.654316209805181,3.14903442603324,-6.1944683115212,-3.33743831731139,-2.27233045122787,-7.0121424656254,1.23421832399352,-2.53074543141524,0.34296303918357,-0.644533466567115,1.76275513981366,0.766725315636436,0.386592139146368,-0.442631837873175,2.22791834344383,-2.36347118988233,-0.558608245981768,4.41273536808118e-14
"new.hit",-33.3014569549342,-12.1078305252334,-11.6584275774326,4.40583379924754,-11.5461471045415,11.7775695821834,3.08951027788227,6.69598298950244,-5.16364637147135,6.68515396285346,-10.7567466575465,-2.94793616673694,-6.11750387114688,12.631091007005,14.4786571471412,7.53839162010863,2.93368967578426,4.31920929105764,3.37628696536588,2.91047388687869,-2.85603586611505,-2.80577908864812,2.39692751077163,-1.35481068827186,1.99594134304957,1.81215560432927,-3.53937553817216,-0.414970833851872,-5.78770795182287,-6.54828616261975,-3.02756289009214,4.87029100477468,1.14036661090941,2.89614551119898,-8.92439284501127,1.22356324454574,-2.40988493305057,-0.928633341819749,-2.21126345939009,-3.67339975053289,2.89263895809126,0.546645393421826,-0.265498720561994,-1.88926713720678,-0.796956086682513,2.50346754637517,-1.79164169792135,0.854045180754828,1.59709931600974,-2.30996713429976,-0.607444980040579,-1.22567213802491,-1.30384259919817,-2.47675956822897,0.945794113918182,-0.952528853651467,2.07452327885549e-14
"DNA.replication.inhibitor.2",-16.7787659705078,-19.872903650212,14.6481847927715,1.93990941718557,-12.0111845936801,-10.6948075104461,-2.3664577626109,-4.60299079216464,0.195047578113505,2.95579311687347,2.64581124319852,-2.03277394491877,-9.22815541115529,0.134878504202082,-0.851690181968561,0.449993252144925,2.27680054844836,2.55810425984055,-2.20997853267755,5.99734818530846,7.34339623247893,7.40030412817431,1.26742879580426,1.83928677721148,1.33633608062472,-0.27087092912783,0.811722526854898,1.49135900967146,1.98431772760304,1.61664869637097,-0.836307269783254,0.206418619285189,0.920218444903974,0.0473714379208376,2.54203527989487,-3.19797060376952,1.15936407921012,-0.109542054376841,2.02452732629835,-3.79558898632022,0.407751134291868,0.525850984888484,-1.93417365164304,1.24992056380105,-1.03989311956778,1.21380024399194,0.30217587316331,1.50526228528828,0.807225256510805,-4.55135093308468,1.52032393490345,-2.67056490137252,-0.0807277375810103,-2.87931300526788,6.38802771228144,9.18417269625129,3.09886664939807e-14
"cell.wall.synthesis.inhibitor.4",-38.3791083555691,0.378883403287538,-10.3086055443321,-0.683922204027853,11.3874865847121,-7.17631349153804,-10.0321959980698,-7.67213670294688,8.72953138648626,-2.10686108085319,8.46813873011682,4.92804007538269,-4.67907409798237,0.897795613851976,8.84456956487072,0.989509415953635,-7.24846441804886,1.35022472341698,-5.13768819698404,3.17161270695446,3.4772060793169,3.17434688177191,-1.55291143713144,-4.1524766379293,-0.745152306759051,4.80391617964304,-1.3806666069542,-1.1253620852176,-7.21639626686151,6.31839202338958,-0.140657387217501,-3.02106119113112,-6.71176857864237,-0.48284454176528,-4.51177254231198,3.41976940562068,2.62313897616655,2.07891369745198,1.35518287353597,2.54710809716439,-3.01209787188115,0.964789132064165,-0.668835214659305,-0.258994962764244,7.3993763677302,3.49404646071403,-0.32242902221309,4.08924056426358,-4.92186852932277,0.751237564800903,2.51297914091869,1.27021167202463,1.53702576593322,-0.975070888013514,-0.919618255148531,-0.254756663743482,-8.45721062625593e-15
"DNA.replication.inhibitor.3",-5.63723460540309,-20.9009984461772,35.3903092657961,1.69548175190424,-8.4554128818171,-17.0563456448914,-4.25321563181929,-16.4132271983612,-4.53885432157564,6.62746833650421,-2.78190537420033,7.69829835995187,-1.26715226666952,-0.394855215479846,1.28191203461291,6.17174946695967,-5.97466530037106,-1.98383661118451,-6.47373617407267,-4.91599327303962,-1.21103843254156,0.586045291115138,-4.65834426251917,2.64111238407514,3.42300849866802,-1.84861139919848,0.0856910591758151,3.32090100476658,-1.80070296256876,1.15532486272938,2.59049455279437,1.680778587429,6.45087475894053,-0.905176121565463,-2.5818333093929,-3.21621176624276,-3.69104362177671,8.8060860780638,4.65839437273248,0.226363851274927,2.06628271958188,3.78852142366387,2.01395491049609,3.55043448645505,1.6630271410698,2.1399567113131,-3.80608955571527,-5.51044466403473,0.800954916950719,1.57070477452314,-1.73002787322566,-0.518214750430902,-2.20701830539958,1.87241734880666,-0.440184087314013,-1.15264681825899,1.84027089628145e-14
